City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,kruisfontein,-34.0033,24.7314,20.49,26,83,11.34,ZA,1718136490
275,castelo do piaui,-5.3222,-41.5525,31.94,39,75,2.18,BR,1718136303
276,mangrol,21.1167,70.1167,29.01,78,0,6.09,IN,1718136490
277,shimoda,34.6667,138.95,18.95,86,100,2.46,JP,1718136490
278,taounate,34.5,-4.8333,22.59,54,1,2.76,MA,1718136490
279,la ronge,55.1001,-105.2842,10.84,83,100,3.31,CA,1718136490
280,nuku'alofa,-21.1333,-175.2,24.19,83,75,9.08,TO,1718136490
281,nouadhibou,20.931,-17.0347,21.99,68,10,6.69,MR,1718136490
282,pisco,-13.7,-76.2167,19.03,77,100,4.12,PE,1718136491
283,raja,8.4596,25.678,23.35,79,93,0.94,SS,1718136491
284,obock,12.25,43.0833,29.33,38,11,5.98,DJ,1718136242
285,duque de caxias,-22.7856,-43.3117,29.08,49,0,3.6,BR,1718136286
286,rosa zarate,0.3333,-79.4667,27.96,75,84,2.69,EC,1718136491
287,tralee,52.2704,-9.7026,10.53,77,37,2.12,IE,1718136491
288,belmonte,-15.8631,-38.8828,23.76,75,5,2.78,BR,1718136491
289,beya,53.0533,90.9139,13.33,86,99,0.92,RU,1718136250
290,saint-philippe,-21.3585,55.7679,22.77,88,100,6.05,RE,1718136491
291,camarinas,43.1311,-9.1817,14.96,77,9,8.78,ES,1718136491
292,igarka,67.4667,86.5833,11.68,88,100,5.36,RU,1718136491
293,mombetsu,44.3525,143.3525,14.15,96,100,1.14,JP,1718136250
294,chuguyevka,44.1653,133.8633,14.55,96,100,1.68,RU,1718136491
295,merke,42.8728,73.1786,22.84,48,100,4.32,KZ,1718136492
296,mossendjo,-2.9506,12.7261,21.86,76,25,0.23,CG,1718136430
297,ulety,51.3572,112.4849,8.97,96,63,1.86,RU,1718136492
298,kirakira,-10.4544,161.9205,25.71,87,92,2.35,SB,1718136492
299,nuzvid,16.7833,80.85,28.1,75,49,5.61,IN,1718136492
300,fort bragg,35.139,-79.006,30.51,44,40,2.57,US,1718136492
301,atbasar,51.8,68.3333,14.7,80,0,3.73,KZ,1718136492
302,new norfolk,-42.7826,147.0587,6.72,87,63,2.22,AU,1718136492
303,tannum sands,-23.9504,151.3693,14.3,87,0,3.6,AU,1718136492
304,beytussebap,37.5694,43.1681,14.85,51,1,2.34,TR,1718136492
305,cururupu,-1.8283,-44.8683,26.58,84,64,1.75,BR,1718136492
306,abong mbang,3.9833,13.1833,20.67,97,86,1.74,CM,1718136492
307,severo-yeniseyskiy,60.3725,93.0408,11.99,81,33,0.45,RU,1718136492
308,amurzet,47.6967,131.0981,11.86,92,100,4.35,RU,1718136493
309,shuangcheng,45.35,126.2833,16.43,94,13,3.02,CN,1718136493
310,korsakov,46.6328,142.7813,12.91,95,100,2.12,RU,1718136493
311,inhambane,-23.865,35.3833,20.4,67,82,2.91,MZ,1718136339
312,iquique,-20.2208,-70.1431,18.02,74,88,2.71,CL,1718136341
